_id,name,access,property_type,room_type,number_of_reviews,accommodates,bedrooms,host_id,host_name,neighbourhood,coordinates,price,start_date,end_date,amenities,rating,city,country,latitude,longitude
8242333,Modern Balmoral Beach Apartment,"You will have access to the entire apartment, any essentials that you need like coffee, tea and sugar etc and access to the washing machine and dryer (on the same floor). There is also a small clothes line that can be automated on the balcony.",Apartment,Entire home/apt,4,2,1.0,43076858,Kirrilly,Mosman,"151.24583, -33.82078",270.0,2015-12-04 05:00:00,2017-09-17 04:00:00,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Wide hallway clearance', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Wide clearance to bed', 'Step-free access', 'Wide entryway', 'Host greets you', 'Beachfront', 'Handheld shower head']",93.0,New South Wales,Australia,151.24583, -33.82078
8326369,Last Minute Specials~Heated Pool~Steps to Beach!,"A comfortable living room equipped with a queen sofa sleeper, and a flat screen TV.  All bedrooms equipped with flat screens,  free wireless WIFI, DirectTV, Netflix, Pandora,  DVD, Rhapsody, Security System, Key-less Entry, Air Conditioning, BBQ Grill, Sound System, Washer/Dryer, Games.  Tropical Saltwater Swimming Pool and Waterfall, Beautiful Nighttime Landscape Lighting. Beach gear such as beach chairs, beach towels, coolers, and umbrellas are available at no extra charge. (Available upon request with a $100 dollar refundable deposit)  Snorkel gear, beach toys, boogie boards, arm floaties.(Baby Gear such as Pac & Plays, high chairs, baby monitors, and strollers(URL HIDDEN)The property manager lives just a couple of blocks away and is always available for any of your needs.",House,Entire home/apt,28,9,4.0,17709954,David,Waimanalo,"-157.69918, 21.33934",890.0,2015-12-26 05:00:00,2018-12-03 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Baby monitor', 'High chair', 'Babysitter recommendations', 'Pack ’n Play/travel crib', 'Hot water', 'BBQ grill']",100.0,Hawaii,United States,-157.69918, 21.33934
8327773,"Gorgeous Brooklyn Brownstone Flat, Great Location!","Keys to enter the main entrance to the house, and to your flat, are provided for the duration of your stay. The flat spans the full parlor level so no other guests stay on this floor of the house. Any questions feel free to ask!",Townhouse,Entire home/apt,170,4,1.0,6444987,Jason,Bedford-Stuyvesant,"-73.93038, 40.68121",155.0,2015-09-21 04:00:00,2019-02-17 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Bathtub', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Beach essentials', 'Luggage dropoff allowed', 'Wide doorway', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Firm mattress', 'Step-free access', 'Step-free access', 'Wide entryway', 'Other']",99.0,New York,United States,-73.93038, 40.68121
827250,Estudio / Terraza P4 (S. Família) mínimo 32 NOCHES,"El alojamiento está ubicado en la planta 8ª de un edificio con ascensor, montacargas y conserjería. Se ofrece plaza de aparcamiento (pago adicional), según períodos. Mantenimiento/limpieza obligatoria (semanal)",Loft,Entire home/apt,31,4,1.0,3912625,Xavier,la Sagrada Família,"2.17199, 41.40267",143.0,2013-06-11 04:00:00,2018-10-27 04:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Host greets you']",99.0,Catalunya,España,2.17199, 41.40267
8341415,Gorgeous Hawaiiana Home near beach,Our guests will have access to the entire property and enjoy the beautiful evenings overlooking the city lights and the ocean in a quiet and tranquil environment. You can catch the infamous Honolulu Fireworks every Friday night if you are staying over the weekend.,House,Entire home/apt,35,8,4.0,8055475,Jose,Makiki/Lower Punchbowl/Tantalus,"-157.83414, 21.30861",850.0,2015-10-24 04:00:00,2019-02-10 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Gym', 'Hot tub', 'Indoor fireplace', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Host greets you']",99.0,Hawaii,United States,-157.83414, 21.30861
8297905,Apt.cerca SagradaFamilia (4pax) SF2,Los huéspedes tienen acceso exclusivo a toda la vivienda.,Apartment,Entire home/apt,45,4,1.0,10380563,Tendency,Dreta de l'Eixample,"2.17905, 41.40735",105.0,2016-03-20 04:00:00,2019-02-21 05:00:00,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",90.0,Catalunya,España,2.17905, 41.40735
8315458,Easton Inn* Cozy 2 bed room[持牌宾馆]R2,"1)走廊中有刀叉和清潔地板用具 2)有煮水壺(請勿用來煮雞蛋) 3)如需要其他飲用水,可以到前台裝水｡ 4)洗衣機不在單位內,如1星期入住者需要洗衣請發信息｡",Boutique hotel,Private room,71,3,1.0,6110860,May,Mong Kok,"114.17072, 22.30903",502.0,2016-01-25 05:00:00,2019-02-24 05:00:00,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Paid parking off premises', 'Elevator', 'Hot tub', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water', 'Bed linens', 'Luggage dropoff allowed', 'Long term stays allowed']",85.0,香港 Hong Kong,中国,114.17072, 22.30903
8402207,BEDROOM PRIVATE COMFY NEAR 6 TRAIN NO CURFEW,"Shared bathroom. Kitchen available. You can use kitchen at any time.  We are not bothered with some noise at any time of the day, we all work different shifts. Our common area is very small but you are welcome to hang out. You can smoke outside, if it is to cold to smoke outside you can smoke in our entry way (leave front door a bit open and close the second door).",House,Private room,87,1,1.0,44260966,Alicia,Soundview,"-73.86514, 40.82939",28.0,2015-09-24 04:00:00,2019-02-23 05:00:00,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Refrigerator', 'Luggage dropoff allowed', 'Well-lit path to entrance', 'Wide clearance to bed', 'Accessible-height bed']",90.0,New York,United States,-73.86514, 40.82939
8365099,City center private room till 23/9,"I am renting out one of the two rooms, which belongs to my mother but she's now away to the States till 24 Sept. (so the space is available till 23 Sep). Other than that, you can use the bathroom, kitchen and living area as you wish. I will also be staying in the flat so we will be sharing the apartment during your stay. But usually I wake up and leave work from 9am and back at earliest 730 or 8pm, so it's basically your space during working hours. :) Sometimes, I may cook light dinners and if you wish to join, feel free! (not excellent cooking though...)",Apartment,Private room,1,1,1.0,13216414,Lee,Hung Hom,"114.18728, 22.30536",251.0,2015-09-23 04:00:00,2015-09-23 04:00:00,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Doorman', 'Elevator', 'First aid kit', 'Essentials', 'Shampoo']",100.0,香港 Hong Kong,中国,114.18728, 22.30536
8556777,''Right on the beach on Maui''.,"Our ground-floor-unit opens up to the lawn that leads to the ocean. Here guest have access to the pool, BBQ and the shuffle-board court. Visitor information is available in the lobby of our building where our wonderful manager Sue, has her office. There is small library here as  well if you like to read. We encourage our guests to leave a good read behind for the next reader. If you don't find what you like, our county library is just around the corner.",Condominium,Entire home/apt,49,3,1.0,45041873,Alice Diane,Kihei/Wailea,"-156.45773, 20.7471",225.0,2015-09-26 04:00:00,2019-01-04 05:00:00,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Free street parking', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Private entrance', 'Bathtub', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Beach essentials', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Wide doorway', 'Accessible-height toilet', 'Wide clearance to shower', 'toilet', 'Step-free access', 'Wide entryway', 'Waterfront', 'Beachfront', 'Handheld shower head', 'Fixed grab bars for shower']",98.0,Hawaii,United States,-156.45773, 20.7471
